"Population.Unit","Unit","Year","daily.temperatureHigh","daily.temperatureLow","daily.temperatureMean","daily.precipAccumulation","daily.precipType","daily.windSpeed","daily.FullmoonPhase","Harvest"
840,"2",2010,63.494,28.3866666666667,41.1838333333333,0.0284583333333333,1.67857142857143,2.98555555555556,0.649555555555556,154
2081.42857142857,"3",2010,59.934,23.8211111111111,37.33175,0.3055,1.9,8.63855555555556,0.649555555555556,319
2464,"6",2010,53.552,24.4811111111111,36.0778888888889,0.20775,1.8125,4.97683333333333,0.649555555555556,303
3530.83333333333,"11",2010,62.558,26.4522222222222,39.8637777777778,0.148041666666667,1.96666666666667,3.82766666666667,0.649555555555556,720
3230,"15",2010,54.13,22.2122222222222,34.022,0.128291666666667,1.8952380952381,1.54172222222222,0.649555555555556,363
2490,"18",2010,50.108,21.6233333333333,32.7901111111111,1.05870833333333,2.0952380952381,2.61983333333333,0.649555555555556,447
2200,"20",2010,57.266,26.7144444444444,39.6394444444444,0.124541666666667,1.67857142857143,3.56677777777778,0.649555555555556,36
2288,"21",2010,62.586,27.9722222222222,41.9171944444444,0.378583333333333,1.6375,3.86233333333333,0.649555555555556,382
3405,"41",2010,64.58,27.8188888888889,42.0798055555556,0.01495,1.6547619047619,2.46833333333333,0.649555555555556,125
2130,"43",2010,50.798,17.9611111111111,31.5665,0.564589285714286,2.26388888888889,1.39844444444444,0.649555555555556,519
1890,"44",2010,56.84,20.398,34.0639444444444,0.600875,2.12222222222222,1.60566666666667,0.649555555555556,216
810,"48",2010,45.056,13.1522222222222,26.2329166666667,0.57753125,2.94444444444444,5.52127777777778,0.649555555555556,128
863.333333333333,"50",2010,55.722,19.5077777777778,35.3003611111111,0.1184875,1.95238095238095,1.57494444444444,0.649555555555556,153
3130,"40",2010,65.064,28.46,43.1294444444444,0,1.57738095238095,3.49322222222222,0.649555555555556,128
5285,"61",2010,63.354,24.5255555555556,40.6717777777778,0.065625,1.68611111111111,2.56155555555556,0.649555555555556,636
3400,"10",2010,62.458,28.4977777777778,40.9165833333333,0.2713,1.83333333333333,3.76083333333333,0.649555555555556,102
1040,"49",2010,47.974,16.2044444444444,29.346,0.6380875,2.17777777777778,4.3285,0.649555555555556,268
3050,"66",2010,56.01,17.6077777777778,34.5953055555556,0.137375,2.22222222222222,2.19972222222222,0.649555555555556,460
2015,"68",2010,50.468,16.3366666666667,32.3604166666667,0.00725,2.14285714285714,2.06361111111111,0.649555555555556,149
